ROASTER,ROAST,LOC_COUNTRY,ORIGIN,100G_USD,RATING
253,4,10,9,79,10
199,2,11,3,260,10
156,4,11,3,67,5
108,2,10,13,171,8
200,4,11,13,112,8
132,4,11,3,66,6
200,1,11,11,268,9
97,4,11,11,320,9
26,4,5,11,217,8
128,4,5,11,306,8
181,4,10,11,288,8
236,4,5,11,214,7
283,4,11,11,244,7
23,4,11,3,68,6
84,2,10,3,265,9
84,4,10,9,177,9
13,2,11,26,232,8
277,4,11,9,92,7
81,4,10,9,196,10
200,4,11,3,150,9
267,4,11,3,113,9
144,4,10,14,85,9
48,2,11,11,271,8
144,2,10,10,9,7
132,4,11,18,328,9
29,4,11,3,304,11
29,4,11,3,104,7
132,4,11,3,66,6
132,4,11,14,122,12
29,4,11,3,185,8
251,4,11,9,56,7
27,4,11,19,121,8
132,4,11,10,66,8
144,4,10,19,32,8
144,2,10,10,11,8
87,4,11,9,92,11
50,4,11,14,136,9
118,2,11,14,104,9
147,4,5,11,283,5
252,4,10,9,10,8
213,4,10,9,237,8
114,4,10,9,338,8
132,4,11,9,73,8
144,3,10,9,16,8
18,4,11,14,229,9
132,4,11,14,122,12
144,2,10,14,79,10
144,4,10,9,32,9
144,4,10,9,36,9
80,1,10,8,261,7
76,2,11,8,151,6
89,2,11,8,205,6
2,4,10,9,124,8
156,2,11,9,121,9
144,4,10,9,50,9
277,2,11,10,104,8
277,2,11,14,136,7
277,4,11,10,104,7
132,4,11,9,294,9
145,4,10,18,284,11
87,4,11,18,304,10
110,4,10,9,321,9
176,4,11,9,291,9
277,4,11,9,104,9
132,4,11,9,84,9
132,4,11,9,84,8
134,4,11,18,25,9
132,4,11,14,100,8
132,4,11,14,100,8
160,1,10,9,79,9
65,4,11,9,113,8
203,4,11,9,92,8
132,4,11,9,269,10
144,4,10,9,62,9
144,2,10,10,26,8
144,4,10,10,26,7
144,2,10,10,11,7
91,2,11,3,183,7
248,0,10,13,175,9
39,4,11,9,108,9
29,2,11,3,304,11
66,4,11,4,92,8
164,1,11,4,92,8
158,4,10,3,302,7
252,4,10,9,274,7
65,4,11,9,113,8
277,4,11,14,129,8
13,1,11,3,92,6
52,4,0,18,335,11
255,4,11,17,92,7
257,4,11,9,68,7
148,4,11,18,127,10
252,4,10,9,17,10
148,4,11,9,91,8
148,4,11,14,120,8
35,4,10,9,126,8
132,4,11,14,105,9
249,3,10,9,251,8
30,4,11,4,113,8
217,4,10,14,189,10
5,4,11,9,112,8
27,4,11,14,121,8
217,4,10,9,164,8
27,4,11,10,121,7
161,2,10,9,126,6
148,4,11,10,81,5
55,4,10,9,71,8
148,4,11,18,327,9
144,2,10,14,50,9
144,4,10,14,50,9
144,4,10,9,50,9
223,4,11,9,121,10
200,4,11,11,268,8
91,2,11,4,67,8
200,2,11,9,112,8
21,4,11,9,92,8
212,2,11,4,41,7
110,4,10,9,183,10
110,4,10,9,254,9
110,4,10,9,164,8
200,4,11,18,268,11
200,4,11,9,110,10
121,2,10,3,132,8
31,2,10,14,312,9
31,4,10,3,312,7
31,4,10,10,312,7
233,2,10,14,177,6
31,2,10,8,312,5
154,2,11,9,44,7
140,4,11,9,44,5
246,2,11,9,20,5
93,2,11,3,5,3
262,0,11,13,14,2
128,4,5,11,305,10
101,4,10,18,330,9
101,4,10,9,122,6
29,4,11,10,104,8
132,4,11,9,90,9
227,4,11,9,87,8
60,4,11,9,92,7
277,4,11,9,108,7
200,4,11,9,110,9
134,2,11,14,25,7
132,4,11,9,96,7
134,4,11,18,237,6
132,4,11,19,70,5
217,2,10,9,201,9
144,4,10,14,62,10
69,4,11,9,56,8
97,4,11,9,92,7
132,4,11,5,90,6
132,4,11,5,90,5
137,2,11,11,214,7
137,2,11,4,39,6
87,4,11,18,113,10
149,4,5,11,300,9
149,4,5,11,269,6
149,4,5,11,269,5
223,4,11,9,121,10
200,4,11,11,112,7
227,1,11,9,202,11
130,4,11,9,132,9
104,2,11,9,92,8
194,4,11,9,83,8
34,4,11,9,92,7
73,4,11,9,113,7
227,4,11,4,136,9
199,4,11,3,141,9
217,2,10,14,174,7
22,4,11,3,74,9
200,4,11,11,289,8
27,1,11,2,121,7
267,4,11,3,176,9
267,4,11,3,176,9
130,4,11,9,83,8
299,1,11,9,113,6
277,4,11,5,113,8
144,4,10,9,50,9
144,4,10,9,50,8
200,4,11,3,227,8
200,1,11,3,150,9
200,4,11,11,268,8
212,4,11,16,144,7
151,2,5,11,214,6
223,4,11,9,121,11
118,4,11,9,104,10
128,4,5,11,0,9
148,4,11,18,280,9
299,4,11,3,271,9
282,2,11,9,92,8
207,4,6,9,237,9
44,4,11,5,113,8
91,4,11,3,112,8
29,4,11,3,104,8
293,2,10,9,173,7
26,4,5,11,232,9
26,4,5,11,214,8
236,2,5,11,271,8
200,4,11,9,135,9
189,2,11,10,104,8
122,2,5,11,237,7
110,4,10,14,195,10
144,4,10,3,125,7
132,4,11,9,101,8
122,4,5,11,247,8
122,2,5,11,247,7
68,4,11,0,113,8
277,2,11,9,121,9
227,4,11,13,121,9
227,4,11,3,83,8
200,2,11,11,262,9
87,4,11,9,113,9
144,4,10,13,16,9
264,4,11,10,92,7
144,4,10,22,222,7
132,4,11,9,101,11
132,4,11,10,83,8
79,4,3,18,340,9
66,4,11,9,1,8
37,4,11,9,2,9
110,4,10,1,52,9
299,1,11,3,271,9
299,4,11,9,151,9
122,4,5,11,263,10
132,4,11,14,121,11
132,4,11,14,121,10
189,4,11,3,92,8
132,4,11,3,121,10
200,4,11,8,206,9
29,4,11,3,168,8
144,4,10,9,36,10
132,4,11,9,94,8
219,2,11,8,91,7
67,4,11,10,104,9
134,4,11,9,45,9
134,4,11,9,45,5
200,1,11,17,227,9
200,1,11,3,270,9
7,4,10,9,109,8
74,1,10,9,107,9
7,4,10,9,111,8
2,4,10,14,175,10
38,4,11,9,92,8
38,4,11,9,113,5
8,4,11,9,92,8
297,4,11,9,92,8
99,4,11,9,92,10
11,1,11,9,45,9
165,1,11,9,68,9
210,1,11,9,92,9
256,4,11,13,92,8
85,1,11,3,239,7
88,4,11,14,121,9
251,4,11,9,56,8
223,1,11,9,104,9
251,4,11,19,56,8
223,1,11,9,98,9
96,2,11,13,53,6
96,4,11,15,53,5
130,4,11,9,68,10
130,4,11,9,68,8
130,4,11,9,68,6
144,4,10,14,107,11
144,4,10,9,44,9
297,1,11,9,113,9
7,4,10,10,111,8
61,4,10,4,144,7
200,1,11,11,150,8
144,4,10,10,11,8
75,4,10,9,145,8
91,2,11,4,81,7
83,4,10,9,203,8
8,4,11,4,92,8
87,4,11,9,129,9
87,4,11,14,144,9
201,4,11,3,184,9
132,4,11,14,121,10
66,4,11,4,105,8
200,4,11,11,303,11
200,4,11,11,289,9
156,4,11,9,112,9
132,4,11,9,101,9
132,4,11,13,108,7
74,1,10,17,26,8
110,4,10,8,164,9
146,4,11,10,92,8
124,4,11,10,94,7
68,4,11,10,121,8
29,4,11,9,113,9
5,4,11,9,113,9
199,4,11,9,108,9
5,1,11,9,113,8
128,4,5,11,305,10
232,3,5,11,219,0
200,4,11,11,289,8
277,4,11,9,116,9
105,1,11,3,68,9
36,4,10,9,157,9
36,1,10,18,337,9
200,4,11,17,155,7
169,4,5,11,237,9
144,4,10,9,36,9
132,4,11,4,90,10
132,4,11,9,101,9
132,4,11,3,232,9
138,1,11,9,129,7
132,4,11,15,113,7
138,4,11,3,136,6
138,4,11,3,244,5
97,2,11,14,129,10
105,4,11,14,83,10
63,4,10,14,213,10
82,4,10,14,161,10
102,4,10,14,124,9
144,4,10,14,62,9
148,4,11,14,127,9
208,4,1,14,150,9
252,4,10,14,164,9
266,4,11,14,136,9
263,4,11,14,92,9
95,4,4,10,35,9
95,4,4,10,74,8
95,2,4,10,74,7
95,4,4,10,74,5
95,4,4,10,12,4
95,2,4,10,4,1
95,3,4,10,4,1
144,4,10,9,107,12
201,4,11,4,214,9
299,4,11,9,151,9
251,4,11,9,92,8
277,4,11,14,141,7
219,4,11,9,81,9
219,4,11,4,135,7
200,1,11,10,268,10
200,4,11,11,268,9
268,4,1,3,113,9
132,4,11,3,64,8
132,4,11,14,129,8
132,4,11,9,92,8
223,4,11,9,104,9
284,4,11,9,113,7
249,2,10,14,234,11
79,4,3,18,339,9
91,4,11,3,81,9
200,1,11,22,332,9
29,4,11,18,331,10
199,4,11,18,307,10
27,4,11,14,129,8
250,4,10,9,235,9
250,4,10,9,240,8
213,4,10,9,151,9
213,4,10,9,151,8
144,4,10,18,264,10
149,2,5,11,255,8
149,2,5,11,300,8
149,4,5,11,255,7
144,4,10,9,62,10
156,4,11,3,103,7
